"Link Immagine";"Opera";"Località";"Ubicazione";"Anno collocamento";
"61|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/61.pdf";"Lapide a Giuseppe Garibaldi Piazza Indipendenza";"BORELLO";"Piazza Indipendenza (cv. 2)";1.887;
"62|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/62.pdf";"Lapide a Giuseppe Mazzini Piazza Indipendenza";"BORELLO";"Piazza Indipendenza (cv. 2)";1.887;
"63|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/63.pdf";"Lapide a Leonida Montanari";"CESENA";"Piazza del Popolo - loggiato com.le (cv. 15)";1.887;
"64|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/64.pdf";"Lapide a Giuseppe Mazzini Piazza del Popolo";"CESENA";"Piazza del Popolo - loggiato com.le (cv. 13)";1.888;
"65|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/65.pdf";"Busto a Eugenio Valzania";"CESENA";"c/o Giardini Pubblici  Verdi";1.903;
"66|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/66.pdf";"Lapide a Eduardo Fabbri Casa Natale";"CESENA";"Viale  Mazzoni (cv. 20)";1.903;
"67|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/67.pdf";"Lapide a Federico Comandini";"CESENA";"Sub. Eugenio Valzania (civ.11)";1.903;
"68|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/68.pdf";"Lapide a Vincenzo Fattiboni Casa Natale";"CESENA";"Corso Giuseppe Garibaldi (cv. 61)";1.903;
"69|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/69.pdf";"Lapide ai Caduti nelle Campagne d'Africa1887_1896";"CESENA";"Piazza del Popolo - loggiato com.le (cv. 11)";1.904;
"6|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/6.pdf";"Celletta";"PONTE PIETRA";"Rotonda Madonna del Dipanatoio";;
